時間,年份,月份,日期,Aircraft_Type,對照中文,機型分類,Num,Coordinates
20220807,2022,8,7,èæ·-30æ©,蘇愷-30機,戰鬥機,8,"['LINESTRING (121.33797267278396 26.59114311362438, 121.66985425239329 26.31660988149365, 121.59049126596497 26.211020176827986, 121.2513948694076 26.485553408958715)', 'LINESTRING (121.14317261518717 26.429238899803693, 121.50391346258863 26.133587726739833, 121.41733565921228 26.027998022074165, 121.07102444570688 26.330688508782405)', 'LINESTRING (117.67284566318517 23.043329036858022, 117.99029760889844 22.740638550149782, 117.9037198055221 22.663206100061625, 117.6079123106529 22.95885727312549)', 'LINESTRING (117.49969005643247 22.916621391259223, 117.81714200214574 22.606891590906606, 117.7305641987694 22.522419827174073, 117.42032707000415 22.846228254815447)', 'LINESTRING (117.31210481578371 22.782874432016047, 117.96865315805437 22.0719037539339, 117.9037198055221 22.001510617490123, 117.24717146325145 22.733599236505405)']"
20220807,2022,8,7,æ®²-11æ©,殲-11機,戰鬥機,4,"['LINESTRING (121.33797267278396 26.59114311362438, 121.66985425239329 26.31660988149365, 121.59049126596497 26.211020176827986, 121.2513948694076 26.485553408958715)', 'LINESTRING (121.14317261518717 26.429238899803693, 121.50391346258863 26.133587726739833, 121.41733565921228 26.027998022074165, 121.07102444570688 26.330688508782405)', 'LINESTRING (117.67284566318517 23.043329036858022, 117.99029760889844 22.740638550149782, 117.9037198055221 22.663206100061625, 117.6079123106529 22.95885727312549)', 'LINESTRING (117.49969005643247 22.916621391259223, 117.81714200214574 22.606891590906606, 117.7305641987694 22.522419827174073, 117.42032707000415 22.846228254815447)', 'LINESTRING (117.31210481578371 22.782874432016047, 117.96865315805437 22.0719037539339, 117.9037198055221 22.001510617490123, 117.24717146325145 22.733599236505405)']"
20220807,2022,8,7,è½-6æ©,轟-6機,戰略轟炸機,3,"['LINESTRING (121.33797267278396 26.59114311362438, 121.66985425239329 26.31660988149365, 121.59049126596497 26.211020176827986, 121.2513948694076 26.485553408958715)', 'LINESTRING (121.14317261518717 26.429238899803693, 121.50391346258863 26.133587726739833, 121.41733565921228 26.027998022074165, 121.07102444570688 26.330688508782405)', 'LINESTRING (117.67284566318517 23.043329036858022, 117.99029760889844 22.740638550149782, 117.9037198055221 22.663206100061625, 117.6079123106529 22.95885727312549)', 'LINESTRING (117.49969005643247 22.916621391259223, 117.81714200214574 22.606891590906606, 117.7305641987694 22.522419827174073, 117.42032707000415 22.846228254815447)', 'LINESTRING (117.31210481578371 22.782874432016047, 117.96865315805437 22.0719037539339, 117.9037198055221 22.001510617490123, 117.24717146325145 22.733599236505405)']"
20220807,2022,8,7,æ®²-16æ©,殲-16機,戰鬥機,6,"['LINESTRING (121.33797267278396 26.59114311362438, 121.66985425239329 26.31660988149365, 121.59049126596497 26.211020176827986, 121.2513948694076 26.485553408958715)', 'LINESTRING (121.14317261518717 26.429238899803693, 121.50391346258863 26.133587726739833, 121.41733565921228 26.027998022074165, 121.07102444570688 26.330688508782405)', 'LINESTRING (117.67284566318517 23.043329036858022, 117.99029760889844 22.740638550149782, 117.9037198055221 22.663206100061625, 117.6079123106529 22.95885727312549)', 'LINESTRING (117.49969005643247 22.916621391259223, 117.81714200214574 22.606891590906606, 117.7305641987694 22.522419827174073, 117.42032707000415 22.846228254815447)', 'LINESTRING (117.31210481578371 22.782874432016047, 117.96865315805437 22.0719037539339, 117.9037198055221 22.001510617490123, 117.24717146325145 22.733599236505405)']"
20220807,2022,8,7,é-8åæ½æ©,運-8反潛機,反潛偵察機,1,"['LINESTRING (121.33797267278396 26.59114311362438, 121.66985425239329 26.31660988149365, 121.59049126596497 26.211020176827986, 121.2513948694076 26.485553408958715)', 'LINESTRING (121.14317261518717 26.429238899803693, 121.50391346258863 26.133587726739833, 121.41733565921228 26.027998022074165, 121.07102444570688 26.330688508782405)', 'LINESTRING (117.67284566318517 23.043329036858022, 117.99029760889844 22.740638550149782, 117.9037198055221 22.663206100061625, 117.6079123106529 22.95885727312549)', 'LINESTRING (117.49969005643247 22.916621391259223, 117.81714200214574 22.606891590906606, 117.7305641987694 22.522419827174073, 117.42032707000415 22.846228254815447)', 'LINESTRING (117.31210481578371 22.782874432016047, 117.96865315805437 22.0719037539339, 117.9037198055221 22.001510617490123, 117.24717146325145 22.733599236505405)']"
20220808,2022,8,8,èæ·-30æ©,蘇愷-30機,戰鬥機,8,"['LINESTRING (121.38995943712615 26.703772131934425, 121.72717196481375 26.41516027251494, 121.64107514923394 26.323649195138028, 121.30386262154633 26.605221740913137)', 'LINESTRING (121.14601845965001 26.429238899803693, 121.49040572196927 26.133587726739833, 121.40430890638945 26.027998022074165, 121.05992164407019 26.330688508782405)', 'LINESTRING (117.78106791740561 23.064446977791157, 118.10393097582991 22.74767786379416, 118.01065942561844 22.670245413706006, 117.71649530572074 22.979975214058623)', 'LINESTRING (117.68062163256249 22.909582077614843, 117.96761101782853 22.62097021819536, 117.88151420224872 22.550577081751584, 117.59452481698267 22.839188941171066)', 'LINESTRING (118.97924860089135 21.909999540113212, 119.27341272078905 21.909999540113212, 119.27341272078905 21.79737052180317, 119.0151222740496 21.79737052180317)']"
20220808,2022,8,8,æ®²-11æ©,殲-11機,戰鬥機,6,"['LINESTRING (121.38995943712615 26.703772131934425, 121.72717196481375 26.41516027251494, 121.64107514923394 26.323649195138028, 121.30386262154633 26.605221740913137)', 'LINESTRING (121.14601845965001 26.429238899803693, 121.49040572196927 26.133587726739833, 121.40430890638945 26.027998022074165, 121.05992164407019 26.330688508782405)', 'LINESTRING (117.78106791740561 23.064446977791157, 118.10393097582991 22.74767786379416, 118.01065942561844 22.670245413706006, 117.71649530572074 22.979975214058623)', 'LINESTRING (117.68062163256249 22.909582077614843, 117.96761101782853 22.62097021819536, 117.88151420224872 22.550577081751584, 117.59452481698267 22.839188941171066)', 'LINESTRING (118.97924860089135 21.909999540113212, 119.27341272078905 21.909999540113212, 119.27341272078905 21.79737052180317, 119.0151222740496 21.79737052180317)']"
20220808,2022,8,8,æ®²è½-7æ©,殲轟-7機,戰鬥轟炸機,2,"['LINESTRING (121.38995943712615 26.703772131934425, 121.72717196481375 26.41516027251494, 121.64107514923394 26.323649195138028, 121.30386262154633 26.605221740913137)', 'LINESTRING (121.14601845965001 26.429238899803693, 121.49040572196927 26.133587726739833, 121.40430890638945 26.027998022074165, 121.05992164407019 26.330688508782405)', 'LINESTRING (117.78106791740561 23.064446977791157, 118.10393097582991 22.74767786379416, 118.01065942561844 22.670245413706006, 117.71649530572074 22.979975214058623)', 'LINESTRING (117.68062163256249 22.909582077614843, 117.96761101782853 22.62097021819536, 117.88151420224872 22.550577081751584, 117.59452481698267 22.839188941171066)', 'LINESTRING (118.97924860089135 21.909999540113212, 119.27341272078905 21.909999540113212, 119.27341272078905 21.79737052180317, 119.0151222740496 21.79737052180317)']"
20220808,2022,8,8,æ®²-16æ©,殲-16機,戰鬥機,4,"['LINESTRING (121.38995943712615 26.703772131934425, 121.72717196481375 26.41516027251494, 121.64107514923394 26.323649195138028, 121.30386262154633 26.605221740913137)', 'LINESTRING (121.14601845965001 26.429238899803693, 121.49040572196927 26.133587726739833, 121.40430890638945 26.027998022074165, 121.05992164407019 26.330688508782405)', 'LINESTRING (117.78106791740561 23.064446977791157, 118.10393097582991 22.74767786379416, 118.01065942561844 22.670245413706006, 117.71649530572074 22.979975214058623)', 'LINESTRING (117.68062163256249 22.909582077614843, 117.96761101782853 22.62097021819536, 117.88151420224872 22.550577081751584, 117.59452481698267 22.839188941171066)', 'LINESTRING (118.97924860089135 21.909999540113212, 119.27341272078905 21.909999540113212, 119.27341272078905 21.79737052180317, 119.0151222740496 21.79737052180317)']"
20220808,2022,8,8,å¡-28åæ½ç´åæ©,卡-28反潛直升機,反潛直升機,1,"['LINESTRING (121.38995943712615 26.703772131934425, 121.72717196481375 26.41516027251494, 121.64107514923394 26.323649195138028, 121.30386262154633 26.605221740913137)', 'LINESTRING (121.14601845965001 26.429238899803693, 121.49040572196927 26.133587726739833, 121.40430890638945 26.027998022074165, 121.05992164407019 26.330688508782405)', 'LINESTRING (117.78106791740561 23.064446977791157, 118.10393097582991 22.74767786379416, 118.01065942561844 22.670245413706006, 117.71649530572074 22.979975214058623)', 'LINESTRING (117.68062163256249 22.909582077614843, 117.96761101782853 22.62097021819536, 117.88151420224872 22.550577081751584, 117.59452481698267 22.839188941171066)', 'LINESTRING (118.97924860089135 21.909999540113212, 119.27341272078905 21.909999540113212, 119.27341272078905 21.79737052180317, 119.0151222740496 21.79737052180317)']"
